[INIT] Script started at 25-01-2025 20:39:16
Total Previous Judgment Files Found: 0
Processing Year: 2003 | Total Judgments Found: 1
Processing Year: 2002 | Total Judgments Found: 0
Processing Year: 2007 | Total Judgments Found: 410
Processing Year: 2008 | Total Judgments Found: 400
Processing Year: 2006 | Total Judgments Found: 356
Processing Year: 2005 | Total Judgments Found: 378
Processing Year: 2004 | Total Judgments Found: 31
Processing Year: 2009 | Total Judgments Found: 544
Processing Year: 2010 | Total Judgments Found: 514
Processing Year: 2017 | Total Judgments Found: 1154
Processing Year: 2012 | Total Judgments Found: 565
Processing Year: 2016 | Total Judgments Found: 1147
Processing Year: 2015 | Total Judgments Found: 1160
Processing Year: 2018 | Total Judgments Found: 1217
